Date,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Continent
2022-05-10,,World,519020622,577501.0,6282223.0,1538.0,473856353.0,608226.0,38882046.0,39317.0,66586.0,806.0,,,,,,,,,,Unknown
2022-05-10,1.0,USA,83953371,87487.0,1025764.0,226.0,81107296.0,46529.0,1820311.0,1794.0,250905.0,3066.0,1014741268.0,3032684.0,334601743.0,4.0,326.0,0.0,261.0,0.7,5440.0,North America
2022-05-10,2.0,India,43113413,2827.0,524181.0,24.0,42570165.0,3230.0,19067.0,698.0,30682.0,373.0,841986891.0,599210.0,1405161912.0,33.0,2681.0,2.0,2.0,0.02,14.0,Asia
2022-05-10,3.0,Brazil,30617786,23398.0,664564.0,121.0,29697931.0,16811.0,255291.0,8318.0,142170.0,3086.0,63776166.0,296136.0,215361137.0,7.0,324.0,3.0,109.0,0.6,1185.0,South America
2022-05-10,4.0,France,29061523,40299.0,147075.0,96.0,27929038.0,103884.0,985410.0,1364.0,443408.0,2244.0,269816888.0,4116745.0,65541322.0,2.0,446.0,0.0,615.0,1.0,15035.0,Europe
2022-05-10,5.0,Germany,25583258,93102.0,137449.0,227.0,23676700.0,139800.0,1769109.0,1279.0,303548.0,1631.0,122332384.0,1451488.0,84280690.0,3.0,613.0,1.0,1105.0,3.0,20991.0,Europe
2022-05-10,6.0,UK,22145157,529.0,176424.0,,21616575.0,26588.0,352158.0,253.0,323064.0,2574.0,519264096.0,7575273.0,68547249.0,3.0,389.0,0.0,8.0,,5137.0,Unknown
2022-05-10,7.0,Russia,18241329,4102.0,377248.0,98.0,17619414.0,5043.0,244667.0,2300.0,124897.0,2583.0,273400000.0,1871955.0,146050485.0,8.0,387.0,1.0,28.0,0.7,1675.0,Europe
2022-05-10,8.0,S. Korea,17658794,43899.0,23491.0,29.0,,,,383.0,343884.0,457.0,15804065.0,307766.0,51350995.0,3.0,2186.0,3.0,855.0,0.6,324546.0,Unknown
2022-05-10,9.0,Italy,16915467,42415.0,164846.0,115.0,15709259.0,84344.0,1041362.0,338.0,280536.0,2734.0,216861042.0,3596548.0,60296991.0,4.0,366.0,0.0,703.0,2.0,17271.0,Europe
