#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,World,528073779,458963.0,6301741.0,1033.0,498331191.0,802273.0,23440847.0,37994.0,67747.0,808.5,,,,,,,,,
1.0,USA,85113962,53287.0,1029121.0,106.0,81701524.0,69377.0,2383317.0,2278.0,254326.0,3075.0,1022513255.0,3055331.0,334665263.0,4.0,325.0,0.0,159.0,0.3,7121.0
2.0,India,43140068,1675.0,524490.0,31.0,42600737.0,1635.0,14841.0,698.0,30691.0,373.0,847092226.0,602653.0,1405606396.0,33.0,2680.0,2.0,1.0,0.02,11.0
3.0,Brazil,30803995,12775.0,665727.0,47.0,29851917.0,19898.0,286351.0,8318.0,143001.0,3091.0,63776166.0,296068.0,215410601.0,7.0,324.0,3.0,59.0,0.2,1329.0
4.0,France,29359336,4386.0,147917.0,82.0,28609930.0,66962.0,601489.0,1173.0,447919.0,2257.0,271490188.0,4141977.0,65546044.0,2.0,443.0,0.0,67.0,1.0,9177.0
5.0,Germany,26103628,18011.0,138738.0,26.0,24708600.0,106100.0,1256290.0,944.0,309690.0,1646.0,122332384.0,1451337.0,84289451.0,3.0,608.0,1.0,214.0,0.3,14904.0
6.0,UK,22238715,,177977.0,,21836316.0,17105.0,224422.0,188.0,324374.0,2596.0,522526476.0,7621568.0,68558917.0,3.0,385.0,0.0,,,3273.0
7.0,Russia,18297608,4158.0,378426.0,76.0,17694020.0,5117.0,225162.0,2300.0,125281.0,2591.0,273400000.0,1871929.0,146052530.0,8.0,386.0,1.0,28.0,0.5,1542.0
8.0,S. Korea,17967672,9975.0,23987.0,22.0,17414103.0,42223.0,529582.0,229.0,349889.0,467.0,15804065.0,307757.0,51352437.0,3.0,2141.0,3.0,194.0,0.4,10313.0
9.0,Italy,17257573,9820.0,166032.0,80.0,16258494.0,27490.0,833047.0,291.0,286223.0,2754.0,219525905.0,3640919.0,60294088.0,3.0,363.0,0.0,163.0,1.0,13816.0
10.0,Turkey,15063203,922.0,98929.0,3.0,14961011.0,1105.0,3263.0,975.0,175049.0,1150.0,161664811.0,1878697.0,86051554.0,6.0,870.0,1.0,11.0,0.03,38.0
11.0,Spain,12238073,,105947.0,,11620275.0,,511851.0,339.0,261559.0,2264.0,471036328.0,10067256.0,46788947.0,4.0,442.0,0.0,,,10940.0
12.0,Vietnam,10710066,1179.0,43076.0,1.0,9405908.0,3862.0,1261082.0,216.0,108192.0,435.0,85814565.0,866891.0,98991236.0,9.0,2298.0,1.0,12.0,0.01,12739.0
